"Año","Código actividad económica","Nombre actividad económica","Código sector económico","Nombre sector económico","Código subsector económico","Nombre subsector económico","Costos y gastos nómina","Aportes seguridad","Aportes a entidades","Efectivo y equivalentes","Inversiones e instrumentos","Cuentas y otros por cobrar","Inventarios","Propiedades","Otros activos","Total patrimonio bruto","Pasivos","Total patrimonio líquido","Ingresos ordinarios","Ingresos financieros","Otros ingresos","Total ingresos brutos","Devoluciones, rebajas","Ingresos no renta","Total ingresos netos","Costos","Gastos administración","Gastos distribución","Gastos financieros","Otros gastos","Total costos y gastos","Renta líquida ordinaria","Pérdida líquida","Compensaciones","Renta líquida","Renta presuntiva","Renta exenta","Rentas gravables","Renta líquida gravable","Ingresos ganancias ocasionales","Costos ganancias ocasionales","Ganancias ocasionales no gravadas","Ganancias ocasionales gravables","Impuesto RLG","Descuentos tributarios","Impuesto neto de renta","Impuesto ganancias ocasionales","Total Impuesto a cargo","Anticipo renta año anterior","Saldo a favor año anterior","Autorretenciones","Otras retenciones","Total retenciones","Anticipo renta siguiente año","Saldo a pagar por impuesto","Sanciones","Total saldo a pagar","Total saldo a favor"
"2012","6810","Actividades inmobiliarias realizadas con bienes propios o arrendados","8","Actividades financieras, inmobiliarias y de seguros","12","Actividades inmobiliarias","351875","57288","22157","3781374","4744762","7735110","1125047","17714761","2540530","37591379","16229077","21687662","4390087","296434","1644365","6329261","15315","1092437","5223001","917691","2289904","292707","5877","565208","3153571","988218","166165","89248","898509","346036","34279","947","966836","888140","808573","30821","53529","288849","182","289912","12580","302267","73612","26306","8339","125049","133354","88536","198522","954","199319","40329"
"2016","3210","FABRICACIÓN DE JOYAS, BISUTERÍA Y ARTÍCULOS CONEXOS","3","MANUFACTURA","3","INDUSTRIAS MANUFACTURERAS","18394","2319","864","10947","3586","253045","49402","27929","12910","357819","91292","267911","178124","5028","14460","197612","3839","101","193672","99915","25106","17298","0","22739","165058","29561","947","11505","18055","4556","97","0","18056","1389","1100","0","289","3431","0","3431","29","3460","1597","144","613","1470","2083","591","1020","1","1021","210"
"2021","1392","Confección de artículos con materiales textiles, excepto prendas de vestir","3","Manufactura","3","Industrias manufactureras","257403","30351","8367","163815","40528","598317","703674","520886","68890","2121080","1179606","980938","3387925","44044","18066","3458454","792076","9295","2657083","1863402","203860","279933","78880","20591","2446666","215825","4556","4328","211497","61","1330","97","210265","2300","1649","355","349","65087","9645","55443","38","55481","2633","7787","26993","28267","55261","4607","12864","68","12908","18432"
"2021","9700","Actividades de los hogares individuales como empleadores de personal doméstico","11","Otras actividades de servicios","20","Actividades de los hogares individuales en calidad de empleadores o de actividades no diferenciadas ","992","88","29","216","0","306","0","67","21","609","288","322","1851","0","121","1972","23","37","1912","1041","721","48","6","14","1830","89","7","0","89","2","0","0","89","0","0","0","0","28","0","28","0","28","7","1","6","6","13","10","17","0","17","0"
"2014","2012","Fabricación de abonos y compuestos inorgánicos nitrogenados","3","Manufactura","3","Industrias manufactureras","153897","14697","5121","91271","47013","512218","490607","424262","30407","1595778","1135137","503617","2368771","17688","124168","2510627","23300","2972","2484355","1950158","119892","172628","0","190824","483344","72105","44229","2268","69837","16782","57","0","74764","33011","12400","69","20564","18590","0","18590","2056","20647","440","1772","40749","7900","48649","425","1545","11","1548","31326"
"2017","5812","EDICIÓN DE DIRECTORIOS Y LISTAS DE CORREO","7","INFORMACIÓN Y COMUNICACIONES","10","INFORMACIÓN Y COMUNICACIONES","3602","375","122","248","5","4877","0","2174","979","9859","6890","3012","8938","70","57","9065","390","0","8675","5905","2080","31","178","1","8196","671","192","0","671","64","0","0","699","0","0","0","0","219","0","219","0","219","1","2","68","250","318","5","20","0","20","118"
"2020","8220","ACTIVIDADES DE CENTROS DE LLAMADAS (CALL CENTER)","9","ACTIVIDADES PROFESIONALES, CIENTÍFICAS, TÉCNICAS Y DE SERVICIOS ADMINISTRATIVOS Y DE APOYO","14","ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO","2866064","278777","94917","438660","139497","1921906","5241","542128","161326","3424960","1695435","1739547","5719014","130363","86394","5950252","49291","3698","5897263","2737865","2013052","168004","168017","22093","5109031","800873","12360","12847","788026","6599","5548","0","782638","6918","2201","3","4713","247437","32807","214631","471","215101","15056","7890","76802","91715","168517","25145","122778","58","122835","73995"
"2014","2824","Fabricación de maquinaria para explotación de minas y canteras y para obras de construcción","3","Manufactura","3","Industrias manufactureras","17076","2098","581","5191","1287","31800","27789","34836","4070","104973","75904","29355","112426","86","3482","115993","1497","0","114496","77991","25312","5031","230","7531","38104","8332","10651","181","8151","674","0","0","8230","127","133","0","13","2000","0","2000","1","2002","319","1230","0","2582","2582","477","267","3","267","1917"
"2021","2750","Fabricación de aparatos de uso doméstico","3","Manufactura","3","Industrias manufactureras","372319","39697","12039","123185","89686","887227","1026114","666528","83505","2912510","1855919","1064996","4514852","77636","19508","4612035","283310","48","4328677","3175789","194818","506222","110755","4408","3991992","339591","2072","8333","331258","1","36","0","331222","11177","11551","0","135","102683","17010","85673","13","85687","2805","143","92726","9839","102565","2495","14168","13","14174","31493"
"2018","8610","ACTIVIDADES DE HOSPITALES Y CLÍNICAS, CON INTERNACIÓN","10","ACTIVIDADES DE LA ADMINISTRACIÓN PÚBLICA Y DEFENSA, DE ENSEÑANZA, ACTIVIDADES DE ATENCIÓN DE LA SALUD Y DE ASISTENCIA SOCIAL","17","ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL","6606707","1037672","372946","2047600","1271429","18849500","933031","13671881","1393186","38600116","18250500","20825883","32182624","174793","2047696","34433817","666910","53274","33713610","22835373","6151938","347370","612008","1702309","31648999","1695209","166930","43552","1650884","160873","435386","1553","1292082","70302","49067","2","21628","411293","2977","408316","2232","447489","36163","63209","157314","251130","408444","46587","115753","219","115896","160394"
